capability,radius,region_pair,metric,contrast_3B,contrast_7B,difference_in_differences,ci_excludes_zero
visual_grounding,0.0035698828543799426,vision_vs_language,mean_delta,0.0,-0.002812499999999987,-0.002812499999999987,False
visual_grounding,0.0035698828543799426,vision_vs_language,density_ge_0.02,0.0,-0.015625,-0.015625,False
visual_grounding,0.0035698828543799426,vision_vs_language,positive_thicket_mass,0.0,0.0,0.0,False
visual_grounding,0.0035698828543799426,vision_vs_multimodal_connector_or_merger,mean_delta,0.0,0.0006250000000000162,0.0006250000000000162,False
visual_grounding,0.0035698828543799426,vision_vs_multimodal_connector_or_merger,density_ge_0.02,0.0,0.140625,0.140625,False
visual_grounding,0.0035698828543799426,vision_vs_multimodal_connector_or_merger,positive_thicket_mass,0.0,0.003437500000000003,0.003437500000000003,False
visual_grounding,0.0035698828543799426,multimodal_connector_or_merger_vs_language,mean_delta,0.0,-0.003437500000000003,-0.003437500000000003,False
visual_grounding,0.0035698828543799426,multimodal_connector_or_merger_vs_language,density_ge_0.02,0.0,-0.15625,-0.15625,False
visual_grounding,0.0035698828543799426,multimodal_connector_or_merger_vs_language,positive_thicket_mass,0.0,-0.003437500000000003,-0.003437500000000003,False
visual_grounding,0.017849414271899712,vision_vs_language,mean_delta,-0.0006250000000000006,-0.012187500000000004,-0.011562500000000003,True
visual_grounding,0.017849414271899712,vision_vs_language,density_ge_0.02,-0.015625,-0.28125,-0.265625,True
visual_grounding,0.017849414271899712,vision_vs_language,positive_thicket_mass,-0.0003125000000000003,-0.01093750000000001,-0.01062500000000001,True
visual_grounding,0.017849414271899712,vision_vs_multimodal_connector_or_merger,mean_delta,-0.0003125000000000003,0.005312500000000015,0.005625000000000015,True
visual_grounding,0.017849414271899712,vision_vs_multimodal_connector_or_merger,density_ge_0.02,0.0,0.21875,0.21875,True
visual_grounding,0.017849414271899712,vision_vs_multimodal_connector_or_merger,positive_thicket_mass,0.0,0.007187500000000006,0.007187500000000006,True
visual_grounding,0.017849414271899712,multimodal_connector_or_merger_vs_language,mean_delta,-0.0003125000000000003,-0.01750000000000002,-0.01718750000000002,True
visual_grounding,0.017849414271899712,multimodal_connector_or_merger_vs_language,density_ge_0.02,-0.015625,-0.5,-0.484375,True
visual_grounding,0.017849414271899712,multimodal_connector_or_merger_vs_language,positive_thicket_mass,-0.0003125000000000003,-0.018125000000000016,-0.017812500000000016,True
visual_grounding,0.07139765708759885,vision_vs_language,mean_delta,0.007812500000000007,0.0018750000000000051,-0.005937500000000002,False
visual_grounding,0.07139765708759885,vision_vs_language,density_ge_0.02,0.125,0.03125,-0.09375,False
visual_grounding,0.07139765708759885,vision_vs_language,positive_thicket_mass,0.0025000000000000022,0.002187500000000002,-0.0003125000000000003,False
visual_grounding,0.07139765708759885,vision_vs_multimodal_connector_or_merger,mean_delta,0.004062500000000004,0.020000000000000025,0.01593750000000002,True
visual_grounding,0.07139765708759885,vision_vs_multimodal_connector_or_merger,density_ge_0.02,0.328125,0.359375,0.03125,False
visual_grounding,0.07139765708759885,vision_vs_multimodal_connector_or_merger,positive_thicket_mass,0.006562500000000006,0.02156250000000002,0.015000000000000013,True
visual_grounding,0.07139765708759885,multimodal_connector_or_merger_vs_language,mean_delta,0.0037500000000000033,-0.018125000000000023,-0.021875000000000026,True
visual_grounding,0.07139765708759885,multimodal_connector_or_merger_vs_language,density_ge_0.02,-0.203125,-0.328125,-0.125,False
visual_grounding,0.07139765708759885,multimodal_connector_or_merger_vs_language,positive_thicket_mass,-0.004062500000000004,-0.019375000000000017,-0.015312500000000014,True
counting,0.0035698828543799426,vision_vs_language,mean_delta,0.002187499999999988,-0.004062499999999983,-0.006249999999999971,True
counting,0.0035698828543799426,vision_vs_language,density_ge_0.02,0.0,0.0,0.0,False
counting,0.0035698828543799426,vision_vs_language,positive_thicket_mass,0.0024999999999999883,0.0,-0.0024999999999999883,False
counting,0.0035698828543799426,vision_vs_multimodal_connector_or_merger,mean_delta,0.0037499999999999808,-0.00718749999999997,-0.01093749999999995,True
counting,0.0035698828543799426,vision_vs_multimodal_connector_or_merger,density_ge_0.02,0.0,0.0,0.0,False
counting,0.0035698828543799426,vision_vs_multimodal_connector_or_merger,positive_thicket_mass,0.004062499999999981,0.0,-0.004062499999999981,True
counting,0.0035698828543799426,multimodal_connector_or_merger_vs_language,mean_delta,-0.0015624999999999927,0.003124999999999987,0.00468749999999998,True
counting,0.0035698828543799426,multimodal_connector_or_merger_vs_language,density_ge_0.02,0.0,0.0,0.0,False
counting,0.0035698828543799426,multimodal_connector_or_merger_vs_language,positive_thicket_mass,-0.0015624999999999927,0.0,0.0015624999999999927,False
counting,0.017849414271899712,vision_vs_language,mean_delta,-0.003437499999999998,0.015312499999999982,0.018749999999999982,True
counting,0.017849414271899712,vision_vs_language,density_ge_0.02,0.0,0.0,0.0,False
counting,0.017849414271899712,vision_vs_language,positive_thicket_mass,-0.0009374999999999956,0.0,0.0009374999999999956,False
counting,0.017849414271899712,vision_vs_multimodal_connector_or_merger,mean_delta,-0.0015625000000000049,-0.01593749999999995,-0.014374999999999947,True
counting,0.017849414271899712,vision_vs_multimodal_connector_or_merger,density_ge_0.02,0.015625,0.0,-0.015625,False
counting,0.017849414271899712,vision_vs_multimodal_connector_or_merger,positive_thicket_mass,0.0009374999999999974,0.0,-0.0009374999999999974,False
counting,0.017849414271899712,multimodal_connector_or_merger_vs_language,mean_delta,-0.001874999999999993,0.031249999999999934,0.033124999999999925,True
counting,0.017849414271899712,multimodal_connector_or_merger_vs_language,density_ge_0.02,-0.015625,0.0,0.015625,False
counting,0.017849414271899712,multimodal_connector_or_merger_vs_language,positive_thicket_mass,-0.001874999999999993,0.0,0.001874999999999993,False
counting,0.07139765708759885,vision_vs_language,mean_delta,-0.005937499999999988,0.02125000000000002,0.027187500000000007,True
counting,0.07139765708759885,vision_vs_language,density_ge_0.02,-0.0625,0.015625,0.078125,False
