radius,radius_label,capability,region,density_ge_0.02_diff_7B_minus_3B
0.0035698828543799426,small,visual_grounding,vision,0.375
0.0035698828543799426,small,visual_grounding,multimodal_connector_or_merger,0.234375
0.0035698828543799426,small,visual_grounding,language,0.390625
0.0035698828543799426,small,counting,vision,0.0
0.0035698828543799426,small,counting,multimodal_connector_or_merger,0.0
0.0035698828543799426,small,counting,language,0.0
0.0035698828543799426,small,spatial_reasoning,vision,-0.125
0.0035698828543799426,small,spatial_reasoning,multimodal_connector_or_merger,-0.125
0.0035698828543799426,small,spatial_reasoning,language,-0.25
0.0035698828543799426,small,ocr_text_recognition_grounded,vision,0.0
0.0035698828543799426,small,ocr_text_recognition_grounded,multimodal_connector_or_merger,0.0
0.0035698828543799426,small,ocr_text_recognition_grounded,language,0.0
0.0035698828543799426,small,relational_reasoning,vision,-0.171875
0.0035698828543799426,small,relational_reasoning,multimodal_connector_or_merger,-0.328125
0.0035698828543799426,small,relational_reasoning,language,-0.140625
0.0035698828543799426,small,fine_grained_recognition,vision,0.0
0.0035698828543799426,small,fine_grained_recognition,multimodal_connector_or_merger,0.0
0.0035698828543799426,small,fine_grained_recognition,language,0.0
0.017849414271899712,mid,visual_grounding,vision,0.4375
0.017849414271899712,mid,visual_grounding,multimodal_connector_or_merger,0.21875
0.017849414271899712,mid,visual_grounding,language,0.703125
0.017849414271899712,mid,counting,vision,-0.015625
0.017849414271899712,mid,counting,multimodal_connector_or_merger,0.0
0.017849414271899712,mid,counting,language,-0.015625
0.017849414271899712,mid,spatial_reasoning,vision,0.1875
0.017849414271899712,mid,spatial_reasoning,multimodal_connector_or_merger,-0.234375
0.017849414271899712,mid,spatial_reasoning,language,-0.4375
0.017849414271899712,mid,ocr_text_recognition_grounded,vision,0.0
0.017849414271899712,mid,ocr_text_recognition_grounded,multimodal_connector_or_merger,0.0
0.017849414271899712,mid,ocr_text_recognition_grounded,language,0.03125
0.017849414271899712,mid,relational_reasoning,vision,-0.3125
0.017849414271899712,mid,relational_reasoning,multimodal_connector_or_merger,-0.140625
0.017849414271899712,mid,relational_reasoning,language,-0.078125
0.017849414271899712,mid,fine_grained_recognition,vision,0.0
0.017849414271899712,mid,fine_grained_recognition,multimodal_connector_or_merger,0.0
0.017849414271899712,mid,fine_grained_recognition,language,0.0
0.07139765708759885,transition,visual_grounding,vision,0.453125
0.07139765708759885,transition,visual_grounding,multimodal_connector_or_merger,0.421875
0.07139765708759885,transition,visual_grounding,language,0.546875
0.07139765708759885,transition,counting,vision,-0.015625
0.07139765708759885,transition,counting,multimodal_connector_or_merger,0.0
0.07139765708759885,transition,counting,language,-0.09375
0.07139765708759885,transition,spatial_reasoning,vision,0.484375
0.07139765708759885,transition,spatial_reasoning,multimodal_connector_or_merger,-0.265625
0.07139765708759885,transition,spatial_reasoning,language,-0.1875
0.07139765708759885,transition,ocr_text_recognition_grounded,vision,-0.078125
0.07139765708759885,transition,ocr_text_recognition_grounded,multimodal_connector_or_merger,0.0
0.07139765708759885,transition,ocr_text_recognition_grounded,language,0.078125
0.07139765708759885,transition,relational_reasoning,vision,-0.21875
0.07139765708759885,transition,relational_reasoning,multimodal_connector_or_merger,-0.109375
0.07139765708759885,transition,relational_reasoning,language,0.109375
0.07139765708759885,transition,fine_grained_recognition,vision,0.109375
0.07139765708759885,transition,fine_grained_recognition,multimodal_connector_or_merger,0.0
0.07139765708759885,transition,fine_grained_recognition,language,0.15625
